"Bären,Hauptstrasse 18, Utzenstorf, 3427, 瑞士"
"Restaurant du Quai,Le Quai 10, Hermance, 1248, 瑞士"
"Auberge de la Croix d'Or, Grande-Rue 18, Yens, 1169, 瑞士"
"De Garage,Aalbeeksesteenweg 64, Kortrijk, 8500, 比利時"
"Schnitzel,Paardenmarkt 53, Antwerpen, 2000, 比利時"
"ANAM, 10 Bukchon-ro 5-gil, Jongno-gu, Seoul, 03055, 南韓"
"Egg & Flour, 2F, 35 Shinheung-ro 26-gil, Yongsan-gu, Seoul, 04337, 南韓"
"Anmok, 3 Gwangnam-ro 22 beon-gil, Suyeong-gu, Busan, 48307, 南韓"
"ARP, 35 Taejong-ro 99 beon-gil, Yeongdo-gu, Busan, 49035, 南韓"
"Hadongkwan, 12 Myeongdong 9-gil, Jung-gu, Seoul, 04538, 南韓"
"Tokyo Babsang, 34-6 Namcheonbada-ro, Suyeong-gu, Busan, 48304, 南韓"
"Haemok, 8 Gunam-ro 24 beon-gil, Haeundae-gu, Busan, 48094, 南韓"
"Nagahama Mangetsu, 57 Udong 1-ro, Haeundae-gu, Busan, 48088, 南韓"
"Ggupdang, 615 Gangnam-daero, Seocho-gu, Seoul, 06524, 南韓"
"A Flower Blossom on the Rice, 3-6 Insadong 16-gil, Jongno-gu, Seoul, 03146, 南韓"
"FAGP, 136 Wangsimni-ro, Seongdong-gu, Seoul, 04789, 南韓"
"Goobok Mandu, 7 Duteopbawi-ro, Yongsan-gu, Seoul, 04335, 南韓"
"Gebangsikdang, 17 Seolleung-ro 131-gil, Gangnam-gu, Seoul, 06060, 南韓"
"Pildong Myeonok, 26 Seoae-ro, Jung-gu, Seoul, 04624, 南韓"
"Woo Lae Oak, 62-29 Changgyeonggung-ro, Jung-gu, Seoul, 04546, 南韓"
"Okdongsik, 44-10 Yanghwa-ro 7-gil, Mapo-gu, Seoul, 04035, 南韓"
"Geumdwaeji Sikdang, 149 Dasan-ro, Jung-gu, Seoul, 04607, 南韓"
"Yonggeumok, 41-2 Jahamun-ro, Jongno-gu, Seoul, 03036, 南韓"
"Buchon Yukhoe, 200-12 Jong-ro, Jongno-gu, Seoul, 03195, 南韓"
"Yukjeon Hoekwan, 47 Tojeong-ro 37-gil, Mapo-gu, Seoul, 04155, 南韓"
"Yangyang Memil Makguksu, 10 Donggwang-ro 15-gil, Seocho-gu, Seoul, 06561, 南韓"
"Damtaek, 34 World Cup-ro 8-gil, Mapo-gu, Seoul, 04035, 南韓"
"Sarukame, 15 Yeonnam-ro, Mapo-gu, Seoul, 03990, 南韓"
"Jinmi Pyeongyang Naengmyeon, 305-3 Hakdong-ro, Gangnam-gu, Seoul, 06061, 南韓"
"Mattdol, 63 Seongdeokjeong-gil, Seongdong-gu, Seoul, 04775, 南韓"
"Mijin, #116-2 le Meilleur Jongno town, 19 Jong-ro, Jongno-gu, Seoul, 03157, 南韓"
"PILI PILI, 54 Muhak-ro 33 beon-gil, Suyeong-gu, Busan, 48268, 南韓"
"Yurimmyeon, 139-1 Seosomun-ro, Jung-gu, Seoul, 04515, 南韓"
"Loveurth, 32-1 Gwangan-ro 49 beon-gil, Suyeong-gu, Busan, 48296, 南韓"
"Tim Ho Wan, 30 Bongeunsa-ro 86-gil, Gangnam-gu, Seoul, 06165, 南韓"
"Menten, 305 Samil-daero, Jung-gu, Seoul, 04537, 南韓"
"Hapjeongok, 2F, 21 Yanghwa-ro 1-gil, Mapo-gu, Seoul, 04026, 南韓"
"Bongsanok, 5-6 Banpo-daero 8-gil, Seocho-gu, Seoul, 06716, 南韓"
"Base is nice, 20 Dohwa 2-gil, Mapo-gu, Seoul, 04171, 南韓"
"Jin Jin, 60 World Cup buk-ro 1-gil, Mapo-gu, Seoul, 04031, 南韓"
"Mapo Ok, 312 Tojeong-ro, Mapo-gu, Seoul, 04165, 南韓"
"Kyoyang Siksa, 238 Itaewon-ro, Yongsan-gu, Seoul, 04400, 南韓"
"Oreno Ramen, 14 Dongmak-ro 6-gil, Mapo-gu, Seoul, 04072, 南韓"
"Nampo Myeonok, 24 Eulji-ro 3-gil, Jung-gu, Seoul, 04522, 南韓"
"Daesungjip, 5 Sajik-ro, Jongno-gu, Seoul, 03029, 南韓"
"Manjok Ohyang Jokbal, 134-7 Seosomun-ro, Jung-gu, Seoul, 04514, 南韓"
"Hwanggeum Kongbat, 9 Mapo-daero 16-gil, Mapo-gu, Seoul, 04205, 南韓"
"Gaeseong Mandu Koong, 11-3 Insadong 10-gil, Jongno-gu, Seoul, 03146, 南韓"
"Mandujip, 338 Apgujeong-ro, Gangnam-gu, Seoul, 06018, 南韓"
"Myeongdong Kyoja, 29 Myeongdong 10-gil, Jung-gu, Seoul, 04537, 南韓"
"Subaru, 7 Bangbae-jungangno 21-gil, Seocho-gu, Seoul, 06560, 南韓"
"Hwangsaengga Kalguksu, 78 Bukchon-ro 5-gil, Jongno-gu, Seoul, 03053, 南韓"
"Bao Haus, 2F, 62-9 Seojeon-ro 38 beon-gil, Busanjin-gu, Busan, 47294, 南韓"
"Halmaejip, 1-5 Sajik-ro 12-gil, Jongno-gu, Seoul, 03169, 南韓"
"Jungin Myeonok, 10 Gukhoe-daero 76-gil, Yeongdeungpo-gu, Seoul, 07238, 南韓"
"Samcheongdong Sujebi, 101-1 Samcheong-ro, Jongno-gu, Seoul, 03049, 南韓"
"Buda Myeonoak, 2F, 36 Jungdong 1-ro, Haeundae-gu, Busan, 48095, 南韓"
"Shunsai Kubo, 17 Yangdal-ro 4 beon-gil, Buk-gu, Busan, 46517, 南韓"
"Kyewol Gomtang, 8 Seongdeokjeong 3-gil, Seongdong-gu, Seoul, 04774, 南韓"
"Hapcheon Gukbapjip, 235 Yongho-ro, Nam-gu, Busan, 48593, 南韓"
"Tasty Cube, 22-8 Yeonsei-ro 5da-gil, Seodaemun-gu, Seoul, 03789, 南韓"
"Niroumianguan, 75-2 Cheonggyecheon-ro, Jongno-gu, Seoul, 03190, 南韓"
"Limbyungjoo Sandong Kalguksu, 65 Gangnam-daero 37-gil, Seocho-gu, Seoul, 06734, 南韓"
"One Degree North, 8 Hakdong-ro 43-gil, Gangnam-gu, Seoul, 06061, 南韓"
"Gwanghwamun Gukbap, 53 Sejong-daero 21-gil, Jung-gu, Seoul, 04519, 南韓"
"Jaha Son Mandu, 12 Baekseokdong-gil, Jongno-gu, Seoul, 03020, 南韓"
"Hyun Udon, 53 Nonhyeon-ro 149-gil, Gangnam-gu, Seoul, 06039, 南韓"
"Hwa Hae Dang, 15 Gukhoe-daero 62-gil, Yeongdeungpo-gu, Seoul, 07236, 南韓"
"Tuk Tuk Noodle Thai, 161-8 Seongmisan-ro, Mapo-gu, Seoul, 03980, 南韓"
"Jeongmyeon, 88 Neungdong-ro 13-gil, Gwangjin-gu, Seoul, 05012, 南韓"
"Niurou mian guan zi, 25-4 Suyeong-ro 388 beon-gil, Suyeong-gu, Busan, 48311, 南韓"
"Kyodaiya, 39 Seongji-gil, Mapo-gu, Seoul, 04083, 南韓"
"Damiok, #103, 15 Bokji-ro, Busanjin-gu, Busan, 47328, 南韓"
"Yakitori Onjung, 9-7 Dongcheon-ro 108 beon-gil, Busanjin-Gu, Busan, 47247, 南韓"
"HORAPA, 2F, 37-1 Jahamun-ro, Jongno-gu, Seoul, 03040, 南韓"
"St. JOHN Bread and Wine, 94-96 Commercial Street, Spitalfields, London, E1 6LZ, 英國"
"The Anchor,High Street, Ripley, GU23 6AE, 英國"
"Imad's Syrian Kitchen, 2.14-2.16 Kingly Court, Carnaby Street, Soho, London, W1B 5PW, 英國"
"Palmito,16 Western Road, Brighton and Hove, BN3 1AE, 英國"
"Gunton Arms,Cromer Road, Gunton Park, Thorpe Market, NR11 8TZ, 英國"
"The Inn at Welland,Hook Bank, Welland, WR13 6LN, 英國"
"Hoppers,49 Frith Street, Soho, London, W1D 4SG, 英國"
"pahli hill, 70-81 Mortimer Street, Fitzrovia, London, W1W 7SJ, 英國"
"tipo,110 Hanover Street, Edinburgh, EH2 1DR, 英國"
"The Galley,41 Fore Street, Topsham, EX3 0HU, 英國"
"Root,Unit 9, Cargo 1, Gaol Ferry Steps, Wapping Wharf, Bristol, BS1 6WP, 英國"
"Hare & Hounds,Maendy Road, Aberthin, CF71 7LG, 英國"
"The Chequers,50 Rivers Street, Bath, BA1 2QA, 英國"
"Six Bells,Main Street, Witham on The Hill, PE10 0JH, 英國"
"Pulpo Negro,28 Broad Street, New Alresford, SO24 9AQ, 英國"
"Ibérico World Tapas,The Shire Hall, High Pavement, Nottingham, NG1 1HN, 英國"
"Hope & Anchor,Sluice Road, South Ferriby, DN18 6JQ, 英國"
"Skosh,98 Micklegate, York, YO1 6JX, 英國"
"Three Oaks,Austenwood Lane, Gerrards Cross, SL9 8NL, 英國"
"Solas,Unit 1, Strand Street, Dingle, V92 FEF2, 愛爾蘭"
"El Gato Negro,52 King Street, Manchester, M2 4LY, 英國"
"BOX, Unit 10, Cargo 1, Wapping Wharf, Bristol, BS1 6WP, 英國"
"Dastaan,447 Kingston Road, Ewell, KT19 0DB, 英國"
"Bao,53 Lexington Street, Soho, London, W1F 9AS, 英國"
"Cornish Arms,15 West Street, Tavistock, PL19 8AN, 英國"
"Twelve,Marsh Mill, Fleetwood Road North, Thornton, FY5 4JZ, 英國"
"The Spärrows,16 Red Bank, Green Quarter, Manchester, M4 4HF, 英國"
"Gunpowder Spitalfields,11 White's Row, Spitalfields, London, E1 7NF, 英國"
"Bryn Williams at Porth Eirias,The Promenade, Colwyn Bay, LL29 8HH, 英國"
"Bancone,39 William IV Street, Covent Garden, London, WC2N 4DD, 英國"
"Cin Cin,60 Western Road, Brighton and Hove, BN3 1JD, 英國"
"Galvin Green Man,Main Road, Howe Street, CM3 1BG, 英國"
"Haveli, 3-5 Broadway, Darras Hall, Ponteland, NE20 9PW, 英國"
"Rick Stein's Café,10 Middle Street, Padstow, PL28 8AP, 英國"
"Kilberry Inn,Kilberry, PA29 6YD, 英國"
"Duncombe Arms,Main Road, Ellastone, DE6 2GZ, 英國"
"Charlton Arms,Ludford Bridge, Ludlow, SY8 1PJ, 英國"
"Broad Chare,25 Broad Chare, Newcastle upon Tyne, NE1 3DQ, 英國"
"The Royal,1 St Johns Road, St Leonards on Sea, TN37 6HP, 英國"
"Provender,17 High Street, Redbridge, London, E11 2AA, 英國"
"Padella,6 Southwark Street, Borough Market, London, SE1 1TQ, 英國"
"Kricket,12 Denman Street, Soho, London, W1D 7HH, 英國"
"Prashad,137 Whitehall Road, Drighlington, BD11 1AT, 英國"
"The Barbary,16 Neal’s Yard, Covent Garden, London, WC2H 9DP, 英國"
"Upstairs (at Trinity),4 The Polygon, Clapham, London, SW4 0JG, 英國"
"Legare,Cardamom Building, 31G Shad Thames, Butlers Wharf, London, SE1 2YR, 英國"
"Westerns Laundry,34 Drayton Park, Holloway, London, N5 1PB, 英國"
"Home,22 Wellington Place, Belfast, BT1 6GE, 英國"
"Higher Ground,Faulkner House, New York Street, Manchester, M1 4DY, 英國"
"Brutto, 35-37 Greenhill Rents, Clerkenwell, London, EC1M 6BN, 英國"
"Blaise Inn,260 Henbury Road, Bristol, BS10 7QR, 英國"
"Smokestak,35 Sclater Street, Shoreditch, London, E1 6LB, 英國"
"Burnt Orange,59 Middle Street, Brighton and Hove, BN1 1AL, 英國"
"Queen of Cups, 10-12 Northload Street, Glastonbury, BA6 9JJ, 英國"
"Table Forty One,41 Main Street, Gorey, Y25 E1X7, 愛爾蘭"
"Saint Francis Provisions,Short Quay, Kinsale, P17 T880, 愛爾蘭"
"Spitalfields,25 The Coombe, Dublin, D08 YV07, 愛爾蘭"
"Evernight,Unit 1A, 3 Ravine Way Embassy Gardens, Wandsworth, London, SW11 7BH, 英國"
"Deanes at Queens,1 College Gardens, Belfast, BT9 6BQ, 英國"
"Emilia,2 East Street, Ashburton, TQ13 7AA, 英國"
"EDŌ,3 Capital House, Unit 2, Upper Queen Street, Belfast, BT1 6FB, 英國"
"Dill,2 South Street, Lewes, BN7 2BP, 英國"
"Hitchen's Barn,12 Burley Road, Oakham, LE15 6DH, 英國"
"Kiln,58 Brewer Street, Soho, London, W1F 9TL, 英國"
"Popolo,26 Rivington Street, Shoreditch, London, EC2A 3DU, 英國"
"Provender,West End House, High Street, Melrose, TD6 9RU, 英國"
"Sardine Factory,Quay Road, West Looe, Looe, PL13 2BX, 英國"
"Ka Pao,Botanic Gardens Garage, 26 Vinicombe Street, Glasgow, G12 8BE, 英國"
"The Clifton,16 Regent Street, Bristol, BS8 4HG, 英國"
"Beckford Bottle Shop, 5-8 Saville Row, Bath, BA1 2QP, 英國"
"Primeur,116 Petherton Road, Canonbury, London, N5 2RT, 英國"
"Plaquemine Lock,139 Graham Street, Islington, London, N1 8LB, 英國"
"Empire Empire,16 All Saints Road, Notting Hill, London, W11 1HH, 英國"
"La Gordita,6 Montague Street, Dublin, D02 XE65, 愛爾蘭"
"Marmo,31 Baldwin Street, Bristol, BS1 1RG, 英國"
"Goldie,128 Oliver Plunkett Street, Cork, T12 X5P8, 愛爾蘭"
"José,104 Bermondsey Street, Southwark, London, SE1 3UB, 英國"
"Yr Hen Printworks,Carrier's Lane, Cardigan, SA43 1FA, 英國"
"The Green,3 The Green, Sherborne, DT9 3HY, 英國"
"Farang,72 Highbury Park, Highbury, London, N5 2XE, 英國"
"manteca, 49-51 Curtain Road, Shoreditch, London, EC2A 3PT, 英國"
"Richmond,43 Richmond Street South, Dublin, D02 X499, 愛爾蘭"
"Wine & Brine,59 Main Street, Moira, BT67 0LQ, 英國"
"Andria,5 Lower Street, Dartmouth, TQ6 9AJ, 英國"
"Kushi, 14a Low Pavement, Nottingham, NG1 7DL, 英國"
"Celentano's, Cathedral House Hotel, 28-32 Cathedral Square, Glasgow, G4 0XA, 英國"
"Noto,47a Thistle Street, Edinburgh, EH2 1DY, 英國"
"Sculthorpe Mill,Lynn Road, Sculthorpe, NR21 9QG, 英國"
"Root Wells,12 Sadler Street, Wells, BA5 2SE, 英國"
"Sargasso,Unit 13, Harbour Arm, Stone Pier, Margate, CT9 1AP, 英國"
"Courthouse,1 Monaghan Street, Carrickmacross, A81 X066, 愛爾蘭"
"Ox and Finch,920 Sauchiehall Street, Glasgow, G3 7TF, 英國"
"The Reindeer,Main Street, Hoveringham, NG14 7JR, 英國"
"Palomar,34 Rupert Street, Soho, London, W1D 6DN, 英國"
"Thyme,Custume Place, Strand Street, Athlone, N37F1W4, 愛爾蘭"
"The Scran & Scallie,1 Comely Bank Road, Stockbridge, Edinburgh, EH4 1DT, 英國"
"Uno Mas,6 Aungier Street, Dublin, D02 WN47, 愛爾蘭"
"Kateh,5 Warwick Place, Little Venice, London, W9 2PX, 英國"
"Lark,6A Angel Hill, Bury St Edmunds, IP33 1UZ, 英國"
"Kudu,119 Queen's Road, Peckham, London, SE15 2EZ, 英國"
"Lottie's, 7-9 Rathgar Road, Rathmines, Dublin, D06 R971, 愛爾蘭"
"The Three Horseshoes,74 Church Road, Fordham, CO6 3NJ, 英國"
"Touring Club,4 Washington Buildings, Stanwell Road, Penarth, CF64 2AD, 英國"
"Flint House,13 Hanningtons Lane, Brighton and Hove, BN1 1GS, 英國"
"The Mulberry,29 High Street, Falmouth, TR11 2AD, 英國"
"Éan,Druid Lane, Galway, H91 WD26, 愛爾蘭"
"Plaza Khao Gaeng, Arcade Food Hall, 103-105 New Oxford Street, Bloomsbury, London, WC1A 1DB, 英國"
"The Pelican,45 All Saints Road, Notting Hill, London, W11 1HE, 英國"
"Les 2 Garçons,14 Middle Lane, Crouch End, London, N8 8PL, 英國"
"Cush,by the Pier, Ballycotton, P25 FY94, 愛爾蘭"
"Pichet, 14-15 Trinity Street, Dublin, D02 T998, 愛爾蘭"
"Noble,27a Church Road, Holywood, BT18 9BU, 英國"
"The Loch & The Tyne,10 Crimp Hill, Old Windsor, SL4 2QY, 英國"
"Sha, Main Street, Clonegall, Y21 KH61, 愛爾蘭"
"Aldridge Lodge,Aldridge Lodge, Duncannon, Y34 W650, 愛爾蘭"
"Everett's,22 High Street, Waterford, X91 Y983, 愛爾蘭"
"The Bull,Sheep Street, Charlbury, OX7 3RR, 英國"
"The Bonnie Badger,Main Street, Gullane, EH31 2AB, 英國"
"Waterman,5 Hill Street, Belfast, BT1 2NG, 英國"
"Iva New Balkan Cuisine,Kneginje Ljubice 11, Belgrade, 11000, 塞爾維亞"
"Amy Austin,Unit 1, Drury Street Car Park, Dublin, D02 PH26, 愛爾蘭"
"COR,81 North Street, Bedminster, Bristol, BS3 1ES, 英國"
"Ichigo Ichie Bistro & Natural Wine,5 Fenns Quay, Sheares Street, Cork, T12 RY7Y, 愛爾蘭"
"Berenjak,27 Romilly Street, Soho, London, W1D 5AL, 英國"
"Khanom Jeen Pradok Ban Kru Yod,628/8 Mittraphap Road, Nai Mueang, Mueang Nakhon Ratchasima, Nakhon Ratchasima, 30000, 泰國"
"Istok,Gospodar Jevremova 50, Belgrade, 11000, 塞爾維亞"
"Baan Suan Lung Khai,4170, Taling Ngam, Ko Samui, 84140, 泰國"
"Baan Pu Karn,347 Ban Mai, Phra Nakhon Si Ayutthaya, Phra Nakhon Si Ayutthaya, 13000, 泰國"
"Nai Ho Chicken Rice,88/14 Mu 4, Sisa Thong, Nakhon Chai Si, Nakhon Pathom, 73120, 泰國"
"View Mun,289 Mu 7, Mu Ban Thap Thai, Chaeramae, Mueang Ubon Ratchathani, Ubon Ratchathani, 34000, 泰國"
"Krua Jay Sim,98/17 Mu 2, Soi Khun Kaeo 12, Khun Kaeo, Nakhon Chai Si, Nakhon Pathom, 73120, 泰國"
"Khun Jaeng Guay Tiew Pak Mor Kao Wang,246/4 Lang Mueang Road, Nai Mueang, Mueang Khon Kaen, Khon Kaen, 40000, 泰國"
"Charmgang,14 Soi Charoenkrung 35, Talat Noi, Samphanthawong, Bangkok, 10100, 泰國"
"Aunglo by Yangrak,6/8, Decho Road, Suriyawong, Bang Rak, Bangkok, 10500, 泰國"
"Ann Tha Din Daeng,167 Tha Din Daeng Road, Khlong San, Bangkok, 10600, 泰國"
"Ton Mayom,23/1 Mu 6, Thep Krasattri Road, Ratsada, Mueang Phuket, Phuket, 83000, 泰國"
"Fried Banana Rama 5 (Bang Kruai, 116 Bang Kruai - Sai Noi Road, Bang Si Thong, Bang Kruai, Nonthaburi, 11130, 泰國"
"Jun Hom,8/3 Mu 5, Mae Nam, Ko Samui, 84330, 泰國"
"Hong Khao Tom Pla,5 Kra Road, Talat Yai, Mueang Phuket, Phuket, 83000, 泰國"
"Magnolia Café,131/70, 131/82 Rattanakosin Road, Chang Moi, Mueang Chiang Mai, Chiang Mai, 503200, 泰國"
"Choy (Phuttha Monthon Sai 2),9/19 Phuttha Monthon Sai 2 Road, Bang Khae Nuea, Bang Khae, Bangkok, 10160, 泰國"
"Sum Gradang Nga, 31/57-59 Soi Donnok 8/1, Donnok Road, Talat, Mueang Surat Thani, Surat Thani, 84000, 泰國"
"Por. Pochaya, 654-656 Wisut Kasat Road, Ban Phan Thom, Phra Nakhon, Bangkok, 10200, 泰國"
"Kin Kub Koi,83/3 Phuttha Monthon Sai 2 Road, Sala Thammasop, Thawi Watthana, Bangkok, 10170, 泰國"
"Takola, Devasom Khao Lak Beach Resort & Villas, 79 Mu 3, Khuekkhak, Takua Pa, Phang-Nga, 82220, 泰國"
"Somsak Pu Ob (Charoen Rat), 199-205 Soi Charoen Rat 1, Khlong San, Bangkok, 10600, 泰國"
"100 Mahaseth,100 Mahaseth Road, Si Phraya, Bang Rak, Bangkok, 10500, 泰國"
"Jao Nai Fish Ball (Bang Khae Road),103/14 Bang Khae Road, Bang Khae, Bangkok, 10160, 泰國"
"Praprai, 345/1-2 Airport Road, Ban Pet, Mueang Khon Kaen, Khon Kaen, 40000, 泰國"
"Baan Landai, 252/13-14 Phra Pok Klao Road, Si Phum, Mueang Chiang Mai, Chiang Mai, 50200, 泰國"
"Aunt Aoy Kitchen,377 2 Chiang Rai Road, Suthep, Mueang Chiang Mai, Chiang Mai, 50200, 泰國"
"Jok Guay Jab Tom Sen Bat Queue,123/20 Namueang Road, Nai Mueang, Mueang Khon Kaen, Khon Kaen, 40000, 泰國"
"So Jeng, 599/3-4 Mu 2 Chaeng Sanit Road, Nai Mueang, Ban Phai, Khon Kaen, 40110, 泰國"
"Kaeng Pa Loong Sa, 285/162-3 Soi Ngam Wong Wan 23 Lane 11, Bang Khen, Mueang Nonthaburi, Nonthaburi, 11000, 泰國"
"Burapa,26 Soi Sukhumvit 11, Khlong Toei Nuea, Vadhana, Bangkok, 10110, 泰國"
"Khanom Bueang Wan Phueng Noi (Chok Chai 4),134 Chok Chai 4, Soi 54 Yaek 5, Lat Phrao, Bangkok, 10230, 泰國"
"Salaloy,52/2 Wiset Road, Rawai, Mueang Phuket, Phuket, 83000, 泰國"
"Elvis Suki (Soi Yotse),200/37 Soi Yotse, Phlapphla Chai Road, Wat Thep Sirin, Pom Prap Sattru Phai, Bangkok, 10100, 泰國"
"Jidori Cuisine Ken,10/12 Soi Sukhumvit 26, Sukhumvit Road, Khlong Tan, Khlong Toei, Bangkok, 10110, 泰國"
"A Pong Mae Sunee,99 Soi Soon Uthit, Yaowarat Road, Talat Yai, Mueang Phuket, Phuket, 83000, 泰國"
"Bunloet (Pom Prap Sattru Phai),360 Soi Nakhon Sawan 8, Nakhon Sawan Road, Wat Sommanat, Pom Prap Sattru Phai, Bangkok, 10100, 泰國"
"Krua Apsorn (Dusit), 503-505 Sam Sen Road, Wachira Payaban, Dusit, Bangkok, 10300, 泰國"
"Pa Lek Boat Noodles,Bang Lan Road (opposite to Maha That temple), Tha Wasukri, Phra Nakhon Si Ayutthaya, 13000, 泰國"
"Som Tum Jinda,63/1 Phichitrangsan Road, Nai Mueang, Mueang Ubon Ratchathani, Ubon Ratchathani, 34000, 泰國"
"Pa Pu Boat Noodles,1/36 Mu 5, Chao Chet, Sena, Phra Nakhon Si Ayutthaya, 13110, 泰國"
"Dan Chicken Rice (San Sai),45 Mu 3, Old San Sai Road, San Sai Noi, San Sai, Chiang Mai, 50210, 泰國"
"Krua Boonlert,251/1 Mu 1 Sukhumvit Road, Thai Ban Mai, Mueang Samut Prakan, Samut Prakan, 10280, 泰國"
"Here Joi Beef Noodle,127 Mu 20, Kasikon Thung Sang Road, Sila, Mueang Khon Kaen, Khon Kaen, 40000, 泰國"
"Nina's Cafe & Restaurant,59/1 Mu 6, Thanaratch Road, Nong Nam Daeng, Pak Chong, Nakhon Ratchasima, 30450, 泰國"
"Watsana Khao Man Gai,9/275 Phuttha Bucha Road, Bang Mot, Chom Thong, Bangkok, 10150, 泰國"
"Somtum Khun Kan,6 Soi Wachira Thammasatit 23, Sukhumvit 101/1, Bang Chak, Phra Khanong, Bangkok, 10260, 泰國"
"Pae Araya,Rim Khong Road, Khong Chiam, Ubon Ratchathani, 34220, 泰國"
"Chakki,1/35 Soi Watthana Yothin, Rang Nam Road, Thung Phaya Thai, Ratchathewi, Bangkok, 10400, 泰國"
"Ta Tuay,57/10 Mu 5, Soi Ruam Chai 1, Mai Khao, Thalang, Phuket, 83110, 泰國"
"Baan Yai Phad Thai,108 Soi Inthamara 47, Din Daeng, Bangkok, 10400, 泰國"
"Pathongko Mae Pranee,57 Wirat Hong Yok 3 Road, Wichit, Mueang Phuket, Phuket, 83000, 泰國"
"Rung Rueang Pork Noodle,10/3 Soi Sukhumvit 26, Khlong Tan, Khlong Toei, Bangkok, 10110, 泰國"
"Flourish,GF, Sindhorn Kempinski Hotel Bangkok, 80 Soi Tonson, Lumphini, Pathum Wan, Bangkok, 10330, 泰國"
"Naam Yoi,63/250 Ruam Phattana Road, Ratsada, Mueang Phuket, Phuket, 83000, 泰國"
"Samuay & Sons,103/8 Si Chomchuen Road, Mak Khaeng, Mueang Udon Thani, Udon Thani, 41000, 泰國"
"Krua Praya,216/19 Mu 3, Soi Hua Tha, Si Sunthon, Thalang, Phuket, 83110, 泰國"
"VT Namnueng (Posri Road), 345/1-3 Posri Road, Mak Khaeng, Mueang Udon Thani, Udon Thani, 41000, 泰國"
"Tang Jai Yang (Bang Kho Laem),171 Chan Road, Wat Phraya Krai, Bang Kho Laem, Bangkok, 10120, 泰國"
"Sam Chong Seafood, 39/1 Mu 9, Phet Kasem Road, Kalai, Takua Thung, Phang-Nga, 82130, 泰國"
"Pranom Shredded Chicken Noodles (Wat Phanom Yong),47/9 Mu 4, Tha Wasukri, Phra Nakhon Si Ayuthaya, Phra Nakhon Si Ayutthaya, 13000, 泰國"
"Baan Pang Hom,185 Mittraphap Road, Ban Mai, Mueang Nakhon Ratchasima, Nakhon Ratchasima, 30000, 泰國"
"Kai Yang Saeng Thai,126 Ratchadamnoen Road, Nai Mueang, Mueang Nakhon Ratchasima, Nakhon Ratchasima, 30000, 泰國"
"Krua Kao Kuk,47/4 Phatthana Road, Talat Nuea, Mueang Phuket, Phuket, 83000, 泰國"
"Baan Pee Lek,39 Chaloem Phrakiat Ratchakan Thi 9 Soi 9, Nong Bon, Prawet, Bangkok, 10250, 泰國"
"Joong Borikan,85 Prasoet Som Road, Sena, Phra Nakhon Si Ayutthaya, 13110, 泰國"
"Mok,115 Phrommarat Road, Nai Mueang, Mueang Ubon Ratchathani, Ubon Ratchathani, 34000, 泰國"
"Roti Chaofa,44 Chaofa Road, Talat Nuea, Mueang Phuket, Phuket, 83000, 泰國"
"U, 99 Mu 2, Khanon Luang, Bang Pa-in, Phra Nakhon Si Ayutthaya, 13000, 泰國"
"Roti Sai Mai Mae Pom (Mother's Branch),51/1 Mu 2, U Thong Road, Ho Rattanachai, Phra Nakhon Si Ayutthaya, 13000, 泰國"
"Madam Pahtehh (Tumruat Road), 34/1-3 Tumruat Road, Mak Khaeng, Mueang Udon Thani, Udon Thani, 41000, 泰國"
"Rasik Local Kitchen,44/3 Sridonchai Road, Chang Khlan, Mueang Chiang Mai, Chiang Mai, 50100, 泰國"
"Plaew,Soi 5, Mu 1, Nakhon Pathom, Mueang Nakhon Pathom, Nakhon Pathom, 73000, 泰國"
"Lucky,1 Thathong Road, Talat, Mueang Surat Thani, Surat Thani, 84000, 泰國"
"Han Thueng Chiang Mai,63/9 Soi Suthep 4, Suthep Road, Suthep, Mueang Chiang Mai, Chiang Mai, 50200, 泰國"
"Yok Kheng,5/2 Tonpo Road, Talat, Mueang Surat Thani, Surat Thani, 84000, 泰國"
"Kapi Sator,25/236 Mu 6, Tawirat Phakdi Road, Bo Phut, Ko Samui, 84320, 泰國"
"Ekachan,95 Chang Khlan, Mueang Chiang Mai, Chiang Mai, 50100, 泰國"
"Rote Yiam Beef Noodle (Saeng Tawan),164/48 Chang Khlan Road, Chang Khlan, Mueang Chiang Mai, Chiang Mai, 50100, 泰國"
"Mu Krop Chi Hong (Vichitsongkhram Road),66/6 Vichitsongkhram Road, Talat Nuea, Mueang Phuket, Phuket, 83000, 泰國"
"Khao Soi Mae Manee,18 Soi Chotana 24, Chotana Road, Chang Phueak, Mueang Chiang Mai, Chiang Mai, 50300, 泰國"
"Na Chantra,Chantra Khiri Hotel, 49 Mu 3, Ban Pong, Hang Dong, Chiang Mai, 50230, 泰國"
"Huan Soontaree,208 Pa Tan Road, Pa Tan, Mueang Chiang Mai, Chiang Mai, 50300, 泰國"
